Car Name,Price,Dealer Name,Transmission Type,Drivetrain,Fuel Type,Rating,Reviews,Location,Mileage
2021 Chrysler Pacifica Hybrid Limited,"$26,200",Koons Annapolis Toyota,CVT,Front-Wheel Drive,Hybrid,4.5,"1,146 reviews","Annapolis, MD (21 mi.)","74,927 mi."
2020 Lexus ES 300h Base,"$32,996",Jones Preowned Superstore,CVT,Front-Wheel Drive,Hybrid,3.2,733 reviews,"Fallston, MD (25 mi.)","38,301 mi."
2017 Toyota Prius Two,"$19,962",Ourisman Kia of Bethesda,CVT,Front-Wheel Drive,Hybrid,0,2 reviews,"Bethesda, MD (29 mi.)","41,639 mi."
2020 Honda Accord Hybrid Touring,"$21,500",Malloy Ford of Alexandria,CVT,Front-Wheel Drive,Hybrid,2.5,665 reviews,"Alexandria, VA (39 mi.)","84,227 mi."
2023 Lexus ES 300h Base,"$43,977",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","17,440 mi."
2015 Lexus CT 200h Base,"$21,177",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","61,214 mi."
2020 Lexus ES 300h Base,"$29,900",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","74,567 mi."
2023 Honda Accord Hybrid Sport,"$26,981",Honda of Chantilly,CVT,Front-Wheel Drive,Hybrid,4.3,702 reviews,"Chantilly, VA (48 mi.)","49,525 mi."
2019 Lexus ES 300h Luxury,"$35,977",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","34,543 mi."
2019 Lexus ES 300h Luxury,"$29,250",Pohanka Lexus,CVT,Front-Wheel Drive,Hybrid,3.9,"1,912 reviews","Chantilly, VA (48 mi.)","77,788 mi."
2018 Lexus ES 300h Base,"$22,855",Parsons Opequon Motors,CVT,Front-Wheel Drive,Hybrid,0,15 reviews,"Martinsburg, WV (70 mi.)","97,766 mi."
2007 Toyota Prius Touring,"$7,990",I-Deal Cars LLC,CVT,Front-Wheel Drive,Hybrid,4,57 reviews,"Harrisburg, PA (75 mi.)","116,694 mi."
2023 Honda Accord Hybrid Touring,"$35,139",Reedman Toll Honda of Downingtown,CVT,Front-Wheel Drive,Hybrid,2.9,180 reviews,"Downingtown, PA (75 mi.)","4,987 mi."
2021 Toyota Sienna LE 8 Passenger,"$40,991",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","21,452 mi."
2022 Toyota Sienna Platinum,"$92,500",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","5,042 mi."
2022 Toyota Sienna LE,"$36,892",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","65,422 mi."
2023 Toyota Sienna XSE 25th Anniversary,"$54,492",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","23,640 mi."
2022 Toyota Sienna XLE,"$79,995",Team Toyota of Glen Mills,CVT,Front-Wheel Drive,Hybrid,3.7,"1,305 reviews","Glen Mills, PA (76 mi.)","1,819 mi."
2021 Ford Bronco Outer Banks,"$41,212",Al Packer Ford,CVT,Front-Wheel Drive,Hybrid,4.2,"2,172 reviews","Baltimore, MD (15 mi.)","25,430 mi."
2020 Toyota Camry Hybrid XLE,"$26,500",Heritage Toyota Catonsville,CVT,Front-Wheel Drive,Hybrid,4.3,"1,798 reviews","Baltimore, MD (6 mi.)","52,010 mi."
2015 Toyota Prius c Three,"$11,000",Heritage Toyota Catonsville,CVT,Front-Wheel Drive,Hybrid,4.3,"1,798 reviews","Baltimore, MD (6 mi.)","137,535 mi."
